timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
292716934,0.066000186,-0.051322743,0.28326663
292726537,0.021943912,-0.02533172,0.31300294
292736934,0.034901187,-0.03687638,0.28011864
292757735,0.034901187,-0.03687638,0.28011864
292777735,0.034901187,-0.03687638,0.28011864
292788934,0.06709597,-0.03955966,0.32672164
292797734,0.055527814,-0.0046761762,0.34635288
292808934,0.038208377,0.006140394,0.34293008
292817743,0.06530133,0.013035935,0.3238931
292828934,0.036542114,-0.013787063,0.34519234
292837735,0.054966196,0.016665729,0.32408112
292848934,0.074157394,-0.017635282,0.3333913
292857735,0.07461077,-0.0063818586,0.35137054
292868175,0.074891575,-0.017052809,0.36250645
292877734,0.06343167,-0.014764656,0.38643023
292888175,0.056252845,0.014055261,0.3751052
292897734,0.050578695,0.0190995,0.3551099
292908179,0.05579032,0.020950802,0.3567631
292917734,0.060735773,0.0044347118,0.34786087
292928175,0.06862316,0.027014367,0.38728505
292937735,0.0689058,0.012713622,0.3984935
292948174,0.03715003,0.008033428,0.43764114
292957735,0.027092041,0.008251855,0.44881988
292968175,0.016762398,0.0009922687,0.4492256
292977734,0.02075198,0.012318502,0.4707574
292988183,0.00986072,0.026400821,0.4488913
292997734,0.0075410665,0.027742457,0.4252424
293008175,-0.0026894847,0.0060365093,0.4295778
293017736,0.030173048,0.0007010329,0.4343206
293028176,0.027286567,-0.013381285,0.45653412
293037735,0.02709753,-0.0026375244,0.44903758
293048935,0.02709753,-0.0026375244,0.44903758
293068935,0.02709753,-0.0026375244,0.44903758
293088935,0.11514816,0.021138152,0.45544952
293100175,0.11133479,0.02447671,0.44090626
293108934,0.14931718,0.020919725,0.4436628
293119334,0.14634259,-0.0004949868,0.46238208
293128935,0.16978589,0.0021572118,0.5036342
293139335,0.14521964,-0.0054664174,0.48619038
293148934,0.14167793,0.005350152,0.48242015
293159335,0.1258577,0.0032804233,0.4701094
293168934,0.12762305,0.008761519,0.4717768
293179334,0.09460076,-0.033235934,0.46069863
293188934,0.08064314,-0.040641136,0.4539124
293199334,0.07420765,-0.029387712,0.47206536
293208935,0.07680811,-0.041400302,0.5068502
293219334,0.023928693,-0.050074335,0.5283946
