timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
236486256,32767,32767,32767,32767,32767,32767,32767
236490256,32767,32767,32767,32767,-58,-69,32767
236494256,32767,32767,32767,32767,32767,32767,32767
236498256,32767,32767,32767,32767,32767,-61,32767
236502256,32767,32767,32767,32767,-69,32767,32767
236506256,32767,32767,32767,32767,32767,32767,32767
236510256,32767,32767,32767,32767,-47,-69,32767
236514256,32767,32767,32767,32767,32767,32767,32767
236518256,32767,32767,32767,32767,32767,-45,32767
236522256,32767,32767,32767,32767,32767,32767,32767
236526256,32767,32767,32767,32767,32767,32767,32767
236530256,32767,32767,32767,32767,32767,-69,32767
236534256,32767,32767,32767,32767,-76,32767,32767
236538256,32767,32767,32767,32767,32767,-45,32767
236542256,32767,32767,32767,32767,-49,32767,32767
236546256,32767,32767,32767,32767,32767,32767,32767
236550256,32767,32767,32767,32767,32767,-69,32767
236554256,32767,32767,32767,32767,-68,32767,32767
236558256,32767,32767,32767,32767,32767,-53,32767
236562256,32767,32767,32767,32767,32767,32767,32767
236566256,32767,32767,32767,32767,32767,32767,32767
236570256,32767,32767,32767,32767,32767,-69,32767
236574256,32767,32767,32767,32767,-58,32767,32767
236578256,32767,32767,32767,32767,32767,-53,32767
236582256,32767,32767,32767,32767,32767,-77,32767
236586256,32767,32767,32767,32767,-69,32767,32767
236591056,32767,32767,32767,32767,32767,-77,32767
236595856,32767,32767,32767,32767,-64,32767,32767
236599856,32767,32767,32767,32767,32767,-53,32767
236603856,32767,32767,32767,32767,32767,32767,32767
236607856,32767,32767,32767,32767,32767,-45,32767
236611856,32767,32767,32767,32767,32767,32767,32767
236615856,32767,32767,32767,32767,-54,32767,32767
236619856,32767,32767,32767,32767,32767,-53,32767
236623856,32767,32767,32767,32767,32767,32767,32767
236627856,32767,32767,32767,32767,-65,-45,32767
236631856,32767,32767,32767,32767,32767,32767,32767
236635856,32767,32767,32767,32767,-44,32767,32767
236639856,32767,32767,32767,32767,32767,-53,32767
236643859,32767,32767,32767,32767,32767,32767,32767
236647856,32767,32767,32767,32767,32767,-45,32767
236651856,32767,32767,32767,32767,32767,32767,32767
236655856,32767,32767,32767,32767,32767,32767,32767
236659856,32767,32767,32767,32767,-73,-53,32767
236663856,32767,32767,32767,32767,32767,32767,32767
236667856,32767,32767,32767,32767,-45,-45,32767
236671856,32767,32767,32767,32767,32767,32767,32767
236675856,32767,32767,32767,32767,32767,32767,32767
236679856,32767,32767,32767,32767,-64,-53,32767
236683856,32767,32767,32767,32767,32767,32767,32767
236687856,32767,32767,32767,32767,32767,-45,32767
236691856,32767,32767,32767,32767,32767,32767,32767
236695856,32767,32767,32767,32767,32767,32767,32767
236699856,32767,32767,32767,32767,-54,-53,32767
236703856,32767,32767,32767,32767,32767,32767,32767
236707856,32767,32767,32767,32767,32767,-45,32767
236711856,32767,32767,32767,32767,-65,32767,32767
236715856,32767,32767,32767,32767,32767,32767,32767
236719856,32767,32767,32767,32767,-44,-53,32767
236723856,32767,32767,32767,32767,32767,32767,32767
236727856,32767,32767,32767,32767,32767,-45,32767
236731856,32767,32767,32767,32767,32767,32767,32767
236735856,32767,32767,32767,32767,32767,32767,32767
236739856,32767,32767,32767,32767,32767,-53,32767
236743856,32767,32767,32767,32767,-74,32767,32767
236747856,32767,32767,32767,32767,32767,-45,32767
236751856,32767,32767,32767,32767,-45,32767,32767
236755856,32767,32767,32767,32767,32767,32767,32767
236759856,32767,32767,32767,32767,32767,-53,32767
236763856,32767,32767,32767,32767,-64,32767,32767
236767856,32767,32767,32767,32767,32767,-45,32767
236772666,32767,32767,32767,32767,32767,32767,32767
236776656,32767,32767,32767,32767,32767,32767,32767
236780656,32767,32767,32767,32767,32767,-61,32767
236784656,32767,32767,32767,32767,-62,32767,32767
236788656,32767,32767,32767,32767,32767,-53,32767
236792656,32767,32767,32767,32767,32767,32767,32767
236796656,32767,32767,32767,32767,-67,32767,32767
236800656,32767,32767,32767,32767,32767,-61,32767
236804685,32767,32767,32767,32767,-52,32767,32767
236808656,32767,32767,32767,32767,32767,-53,32767
236812656,32767,32767,32767,32767,32767,32767,32767
236816656,32767,32767,32767,32767,32767,32767,32767
236820656,32767,32767,32767,32767,32767,-61,32767
236824656,32767,32767,32767,32767,-42,32767,32767
236828667,32767,32767,32767,32767,32767,-45,32767
236832656,32767,32767,32767,32767,32767,-77,32767
236836656,32767,32767,32767,32767,-53,32767,32767
236840656,32767,32767,32767,32767,32767,-61,32767
236844656,32767,32767,32767,32767,32767,32767,32767
236848656,32767,32767,32767,32767,-72,-45,32767
236852656,32767,32767,32767,32767,32767,32767,32767
236856656,32767,32767,32767,32767,32767,32767,32767
236860656,32767,32767,32767,32767,32767,-61,32767
236864656,32767,32767,32767,32767,32767,32767,32767
236868656,32767,32767,32767,32767,-62,-45,32767
236872656,32767,32767,32767,32767,32767,32767,32767
236876656,32767,32767,32767,32767,32767,32767,32767
236880656,32767,32767,32767,32767,-73,-61,32767
236884656,32767,32767,32767,32767,32767,32767,32767
236888656,32767,32767,32767,32767,-52,-45,32767
236892656,32767,32767,32767,32767,32767,-69,32767
236896656,32767,32767,32767,32767,32767,32767,32767
236900656,32767,32767,32767,32767,32767,-61,32767
236904656,32767,32767,32767,32767,32767,32767,32767
236908656,32767,32767,32767,32767,-42,-45,32767
236912656,32767,32767,32767,32767,32767,-69,32767
236916656,32767,32767,32767,32767,32767,32767,32767
236920656,32767,32767,32767,32767,-53,-61,32767
236924656,32767,32767,32767,32767,32767,32767,32767
236928656,32767,32767,32767,32767,32767,-45,32767
236932656,32767,32767,32767,32767,-72,-69,32767
236936656,32767,32767,32767,32767,32767,32767,32767
236940656,32767,32767,32767,32767,32767,-61,32767
236944656,32767,32767,32767,32767,32767,32767,32767
236948656,32767,32767,32767,32767,32767,-45,32767
236952656,32767,32767,32767,32767,-62,-69,32767
236956656,32767,32767,32767,32767,32767,32767,32767
236960656,32767,32767,32767,32767,32767,-61,32767
236964656,32767,32767,32767,32767,-73,32767,32767
236968656,32767,32767,32767,32767,32767,-45,32767
236972656,32767,32767,32767,32767,-52,-69,32767
236977456,32767,32767,32767,32767,32767,32767,32767
236981456,32767,32767,32767,32767,32767,-69,32767
236985456,32767,32767,32767,32767,32767,32767,32767
236989456,32767,32767,32767,32767,32767,-53,32767
236993456,32767,32767,32767,32767,-50,-77,32767
236997456,32767,32767,32767,32767,32767,32767,32767
237001456,32767,32767,32767,32767,32767,-69,32767
237005456,32767,32767,32767,32767,-61,32767,32767
237009456,32767,32767,32767,32767,32767,32767,32767
237013456,32767,32767,32767,32767,-40,-77,32767
237017456,32767,32767,32767,32767,32767,32767,32767
237021456,32767,32767,32767,32767,32767,-69,32767
237025456,32767,32767,32767,32767,32767,32767,32767
237029456,32767,32767,32767,32767,32767,32767,32767
237033456,32767,32767,32767,32767,32767,-77,32767
237037456,32767,32767,32767,32767,-70,32767,32767
237041469,32767,32767,32767,32767,32767,-69,32767
237045456,32767,32767,32767,32767,-41,32767,32767
237049456,32767,32767,32767,32767,32767,32767,32767
237053456,32767,32767,32767,32767,32767,-77,32767
237057456,32767,32767,32767,32767,-60,32767,32767
237061456,32767,32767,32767,32767,32767,-69,32767
237065456,32767,32767,32767,32767,32767,32767,32767
237069456,32767,32767,32767,32767,32767,32767,32767
237073456,32767,32767,32767,32767,32767,-77,32767
237077456,32767,32767,32767,32767,-50,32767,32767
237081456,32767,32767,32767,32767,32767,-69,32767
237085456,32767,32767,32767,32767,32767,32767,32767
237089456,32767,32767,32767,32767,-60,32767,32767
237093456,32767,32767,32767,32767,32767,-77,32767
237097456,32767,32767,32767,32767,-39,32767,32767
237101456,32767,32767,32767,32767,32767,-69,32767
237105456,32767,32767,32767,32767,32767,32767,32767
237109456,32767,32767,32767,32767,32767,32767,32767
237113456,32767,32767,32767,32767,32767,-77,32767
237117456,32767,32767,32767,32767,32767,32767,32767
237121458,32767,32767,32767,32767,-68,-69,32767
237125460,32767,32767,32767,32767,32767,32767,32767
237129456,32767,32767,32767,32767,-41,32767,32767
237133456,32767,32767,32767,32767,32767,-77,32767
237137456,32767,32767,32767,32767,32767,32767,32767
237141457,32767,32767,32767,32767,-60,-53,32767
237145456,32767,32767,32767,32767,32767,32767,32767
237149456,32767,32767,32767,32767,32767,32767,32767
237153456,32767,32767,32767,32767,32767,-77,32767
237157456,32767,32767,32767,32767,32767,32767,32767
237161456,32767,32767,32767,32767,-50,-61,32767
237166256,32767,32767,32767,32767,32767,32767,32767
237170256,32767,32767,32767,32767,32767,-45,32767
237174256,32767,32767,32767,32767,-69,32767,32767
237178256,32767,32767,32767,32767,32767,32767,32767
237182256,32767,32767,32767,32767,-48,-53,32767
237186256,32767,32767,32767,32767,32767,32767,32767
237190256,32767,32767,32767,32767,32767,-45,32767
237194256,32767,32767,32767,32767,32767,32767,32767
237198256,32767,32767,32767,32767,32767,32767,32767
237202256,32767,32767,32767,32767,32767,-53,32767
237206256,32767,32767,32767,32767,-75,32767,32767
237210256,32767,32767,32767,32767,32767,-45,32767
237214256,32767,32767,32767,32767,-48,32767,32767
237218256,32767,32767,32767,32767,32767,32767,32767
237222256,32767,32767,32767,32767,32767,-53,32767
237226256,32767,32767,32767,32767,-68,32767,32767
237230256,32767,32767,32767,32767,32767,-45,32767
237234256,32767,32767,32767,32767,32767,32767,32767
237238256,32767,32767,32767,32767,32767,32767,32767
237242256,32767,32767,32767,32767,32767,-53,32767
237246256,32767,32767,32767,32767,-58,32767,32767
237250256,32767,32767,32767,32767,32767,-45,32767
237254256,32767,32767,32767,32767,32767,32767,32767
237258256,32767,32767,32767,32767,-69,32767,32767
237262256,32767,32767,32767,32767,32767,-53,32767
237266256,32767,32767,32767,32767,-48,32767,32767
237270256,32767,32767,32767,32767,32767,-45,32767
237274256,32767,32767,32767,32767,32767,32767,32767
237278256,32767,32767,32767,32767,32767,32767,32767
237282256,32767,32767,32767,32767,32767,-53,32767
237286256,32767,32767,32767,32767,32767,32767,32767
237290256,32767,32767,32767,32767,-73,-45,32767
237294256,32767,32767,32767,32767,32767,32767,32767
237298256,32767,32767,32767,32767,-48,32767,32767
237302256,32767,32767,32767,32767,32767,-53,32767
237306256,32767,32767,32767,32767,32767,32767,32767
237310256,32767,32767,32767,32767,-68,-45,32767
237314256,32767,32767,32767,32767,32767,32767,32767
237318256,32767,32767,32767,32767,32767,32767,32767
237322256,32767,32767,32767,32767,32767,-53,32767
237326256,32767,32767,32767,32767,32767,32767,32767
237330256,32767,32767,32767,32767,-58,-45,32767
237334256,32767,32767,32767,32767,32767,32767,32767
237338256,32767,32767,32767,32767,32767,32767,32767
237342256,32767,32767,32767,32767,-69,-53,32767
237347056,32767,32767,32767,32767,32767,32767,32767
