timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
70704960,5.2029786,0.0,0,0,1,0,1,0,0
71204965,5.2497067,0.0,0,0,1,0,1,0,0
71714975,5.2577634,0.0,0,0,1,0,1,0,0
72214957,5.2497067,0.0,0,0,1,0,1,0,0
72714957,5.2497067,0.0,0,0,1,0,1,0,0
73214957,5.2029786,0.0,0,0,1,0,1,0,0
73714957,5.244873,0.0,0,0,1,0,1,0,0
74214957,5.1997557,0.0,0,0,1,0,1,0,0
74714957,5.230371,0.0,0,0,1,0,1,0,0
75214957,5.201367,0.0,0,0,1,0,1,0,0
75714957,5.230371,0.0,0,0,1,0,1,0,0
76214968,5.240039,0.0,0,0,1,0,1,0,0
76714957,5.244873,0.0,0,0,1,0,1,0,0
77214957,5.230371,0.0,0,0,1,0,1,0,0
77714957,5.2029786,0.0,0,0,1,0,1,0,0
78214957,5.2513185,0.0,0,0,1,0,1,0,0
78714957,5.1997557,0.0,0,0,1,0,1,0,0
79214966,5.2497067,0.0,0,0,1,0,1,0,0
79714957,5.1997557,0.0,0,0,1,0,1,0,0
80214957,5.231982,0.0,0,0,1,0,1,0,0
80724990,5.244873,0.0,0,0,1,0,1,0,0
81224967,5.177197,0.0,0,0,1,0,1,0,0
81724967,5.2239256,0.0,0,0,1,0,1,0,0
82224960,5.1933103,0.0,0,0,1,0,1,0,0
83724965,5.24165,0.0,0,0,1,0,1,0,0
84224968,5.244873,0.0,0,0,1,0,1,0,0
84724967,5.2094235,0.0,0,0,1,0,1,0,0
85224965,5.244873,0.0,0,0,1,0,1,0,0
85724960,5.1868653,0.0,0,0,1,0,1,0,0
86234957,5.243262,0.0,0,0,1,0,1,0,0
86734957,5.1997557,0.0,0,0,1,0,1,0,0
87234957,5.243262,0.0,0,0,1,0,1,0,0
87734957,5.2464843,0.0,0,0,1,0,1,0,0
88234957,5.151416,0.0,0,0,1,0,1,0,0
88734967,5.219092,0.0,0,0,1,0,1,0,0
89234957,5.1981444,0.0,0,0,1,0,1,0,0
89734957,5.240039,0.0,0,0,1,0,1,0,0
90244960,5.2239256,0.0,0,0,1,0,1,0,0
90744960,5.21748,0.0,0,0,1,0,1,0,0
91244960,5.2368164,0.0,0,0,1,0,1,0,0
91744990,5.1933103,0.0,0,0,1,0,1,0,0
92244963,5.225537,0.0,0,0,1,0,1,0,0
92744990,5.18042,0.0,0,0,1,0,1,0,0
93244960,5.2271485,0.0,0,0,1,0,1,0,0
93754957,5.243262,0.0,0,0,1,0,1,0,0
94254957,5.21748,0.0,0,0,1,0,1,0,0
94754957,5.254541,0.0,0,0,1,0,1,0,0
95254957,5.1868653,0.0,0,0,1,0,1,0,0
95754957,5.243262,0.0,0,0,1,0,1,0,0
96254965,5.196533,0.0,0,0,1,0,1,0,0
96754957,5.21748,0.0,0,0,1,0,1,0,0
97254957,5.1981444,0.0,0,0,1,0,1,0,0
97754957,5.230371,0.0,0,0,1,0,1,0,0
98254957,5.24165,0.0,0,0,1,0,1,0,0
98754957,5.235205,0.0,0,0,1,0,1,0,0
99254957,5.22876,0.0,0,0,1,0,1,0,0
99754957,5.190088,0.0,0,0,1,0,1,0,0
100254957,5.2384276,0.0,0,0,1,0,1,0,0
100754957,5.20459,0.0,0,0,1,0,1,0,0
101254957,5.2271485,0.0,0,0,1,0,1,0,0
101754957,5.194922,0.0,0,0,1,0,1,0,0
102254960,5.2384276,0.0,0,0,1,0,1,0,0
102754958,5.235205,0.0,0,0,1,0,1,0,0
103264967,5.1723633,0.0,0,0,1,0,1,0,0
103764967,5.225537,0.0,0,0,1,0,1,0,0
104264960,5.1788087,0.0,0,0,1,0,1,0,0
104764960,5.21748,0.0,0,0,1,0,1,0,0
105264990,5.1884766,0.0,0,0,1,0,1,0,0
105764967,5.21748,0.0,0,0,1,0,1,0,0
106264990,5.21748,0.0,0,0,1,0,1,0,0
106764960,5.231982,0.0,0,0,1,0,1,0,0
107264960,5.243262,0.0,0,0,1,0,1,0,0
107764960,5.1739745,0.0,0,0,1,0,1,0,0
108264960,5.225537,0.0,0,0,1,0,1,0,0
108764990,5.1981444,0.0,0,0,1,0,1,0,0
109264967,5.231982,0.0,0,0,1,0,1,0,0
109774957,5.243262,0.0,0,0,1,0,1,0,0
110274957,5.219092,0.0,0,0,1,0,1,0,0
110774957,5.21748,0.0,0,0,1,0,1,0,0
111274957,5.196533,0.0,0,0,1,0,1,0,0
111774957,5.2384276,0.0,0,0,1,0,1,0,0
112274957,5.1933103,0.0,0,0,1,0,1,0,0
112774957,5.2368164,0.0,0,0,1,0,1,0,0
113274957,5.194922,0.0,0,0,1,0,1,0,0
113774957,5.2239256,0.0,0,0,1,0,1,0,0
114274957,5.21748,0.0,0,0,1,0,1,0,0
114774957,5.231982,0.0,0,0,1,0,1,0,0
115274957,5.230371,0.0,0,0,1,0,1,0,0
115774957,5.1723633,0.0,0,0,1,0,1,0,0
116284960,5.2384276,0.0,0,0,1,0,1,0,0
116784992,5.1852536,0.0,0,0,1,0,1,0,0
117284967,5.231982,0.0,0,0,1,0,1,0,0
117784979,5.243262,0.0,0,0,1,0,1,0,0
118284968,5.231982,0.0,0,0,1,0,1,0,0
118784960,5.2239256,0.0,0,0,1,0,1,0,0
119294957,5.190088,0.0,0,0,1,0,1,0,0
119794957,5.2223144,0.0,0,0,1,0,1,0,0
120294957,5.1852536,0.0,0,0,1,0,1,0,0
120794957,5.230371,0.0,0,0,1,0,1,0,0
121294957,5.220703,0.0,0,0,1,0,1,0,0
121794957,5.225537,0.0,0,0,1,0,1,0,0
122294957,5.2513185,0.0,0,0,1,0,1,0,0
122794957,5.196533,0.0,0,0,1,0,1,0,0
123294957,5.243262,0.0,0,0,1,0,1,0,0
123794957,5.1997557,0.0,0,0,1,0,1,0,0
124294957,5.2271485,0.0,0,0,1,0,1,0,0
124794957,5.2239256,0.0,0,0,1,0,1,0,0
125294957,5.231982,0.0,0,0,1,0,1,0,0
125794957,5.230371,0.0,0,0,1,0,1,0,0
126294957,5.231982,0.0,0,0,1,0,1,0,0
126794957,5.244873,0.0,0,0,1,0,1,0,0
127294957,5.1852536,0.0,0,0,1,0,1,0,0
127794957,5.2239256,0.0,0,0,1,0,1,0,0
128294957,5.18042,0.0,0,0,1,0,1,0,0
128794957,5.240039,0.0,0,0,1,0,1,0,0
129304968,5.2384276,0.0,0,0,1,0,1,0,0
129804990,5.2239256,0.0,0,0,1,0,1,0,0
130304968,5.2110353,0.0,0,0,1,0,1,0,0
130804967,5.1723633,0.0,0,0,1,0,1,0,0
131304966,5.21748,0.0,0,0,1,0,1,0,0
131804960,5.191699,0.0,0,0,1,0,1,0,0
132304990,5.225537,0.0,0,0,1,0,1,0,0
132804960,5.167529,0.0,0,0,1,0,1,0,0
133304960,5.22876,0.0,0,0,1,0,1,0,0
133804980,5.244873,0.0,0,0,1,0,1,0,0
134304967,5.2271485,0.0,0,0,1,0,1,0,0
134814957,5.2142577,0.0,0,0,1,0,1,0,0
135314957,5.1884766,0.0,0,0,1,0,1,0,0
135814957,5.2368164,0.0,0,0,1,0,1,0,0
136314957,5.1723633,0.0,0,0,1,0,1,0,0
136814957,5.2239256,0.0,0,0,1,0,1,0,0
137314957,5.225537,0.0,0,0,1,0,1,0,0
137814957,5.2110353,0.0,0,0,1,0,1,0,0
138314957,5.230371,0.0,0,0,1,0,1,0,0
138824960,5.1836424,0.0,0,0,1,0,1,0,0
139324961,5.2271485,0.0,0,0,1,0,1,0,0
139824990,5.18042,0.0,0,0,1,0,1,0,0
140324960,5.2223144,0.0,0,0,1,0,1,0,0
140824990,5.21748,0.0,0,0,1,0,1,0,0
141324960,5.2271485,0.0,0,0,1,0,1,0,0
141824960,5.22876,0.0,0,0,1,0,1,0,0
142324991,5.182031,0.0,0,0,1,0,1,0,0
142824960,5.26582,0.0,0,0,1,0,1,0,0
143324995,5.1739745,0.0,0,0,1,0,1,0,0
143824960,5.219092,0.0,0,0,1,0,1,0,0
144324967,5.2029786,0.0,0,0,1,0,1,0,0
144824990,5.243262,0.0,0,0,1,0,1,0,0
145324966,5.219092,0.0,0,0,1,0,1,0,0
145824960,5.22876,0.0,0,0,1,0,1,0,0
146324960,5.2126465,0.0,0,0,1,0,1,0,0
146824960,5.1933103,0.0,0,0,1,0,1,0,0
147324990,5.2239256,0.0,0,0,1,0,1,0,0
147824960,5.177197,0.0,0,0,1,0,1,0,0
148324960,5.240039,0.0,0,0,1,0,1,0,0
148834957,5.21748,0.0,0,0,1,0,1,0,0
149334957,5.2239256,0.0,0,0,1,0,1,0,0
149834957,5.256152,0.0,0,0,1,0,1,0,0
150334957,5.1997557,0.0,0,0,1,0,1,0,0
150834957,5.2223144,0.0,0,0,1,0,1,0,0
151334957,5.2029786,0.0,0,0,1,0,1,0,0
151834969,5.230371,0.0,0,0,1,0,1,0,0
152334957,5.167529,0.0,0,0,1,0,1,0,0
152834957,5.219092,0.0,0,0,1,0,1,0,0
153334957,5.2142577,0.0,0,0,1,0,1,0,0
153834957,5.2384276,0.0,0,0,1,0,1,0,0
154334957,5.2464843,0.0,0,0,1,0,1,0,0
154834957,5.201367,0.0,0,0,1,0,1,0,0
155334957,5.235205,0.0,0,0,1,0,1,0,0
155834957,5.191699,0.0,0,0,1,0,1,0,0
156334957,5.219092,0.0,0,0,1,0,1,0,0
156834957,5.1884766,0.0,0,0,1,0,1,0,0
157334957,5.2368164,0.0,0,0,1,0,1,0,0
157834957,5.231982,0.0,0,0,1,0,1,0,0
158334974,5.2384276,0.0,0,0,1,0,1,0,0
159844990,5.201367,0.0,0,0,1,0,1,0,0
160344960,5.1852536,0.0,0,0,1,0,1,0,0
160844966,5.230371,0.0,0,0,1,0,1,0,0
161344990,5.2142577,0.0,0,0,1,0,1,0,0
161844960,5.225537,0.0,0,0,1,0,1,0,0
162344960,5.231982,0.0,0,0,1,0,1,0,0
162844974,5.1852536,0.0,0,0,1,0,1,0,0
163344967,5.219092,0.0,0,0,1,0,1,0,0
163844990,5.1788087,0.0,0,0,1,0,1,0,0
