timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
35252549,-0.11149736,-0.12066044,-0.038625415,-0.4088501,0.016997386,-0.009262078,0.9123963,0.92968196,0.072166294,0.0455566,-0.3583408,2
35284519,-0.071879104,-0.09255411,0.0054110754,-0.40920815,0.017579518,-0.009483131,0.9122225,0.92968196,0.072166294,0.0455566,-0.3583408,2
35316494,0.039229214,0.048712082,0.02920312,-0.40977097,0.01734626,-0.00946333,0.91197443,0.92968196,0.072166294,0.0455566,-0.3583408,2
35348505,-0.05423302,-0.03243632,-0.011407828,-0.41010958,0.017469324,-0.009604801,0.91181844,0.92968196,0.072166294,0.0455566,-0.3583408,2
35380519,-0.02137341,-0.026830427,0.01772838,-0.41056898,0.017886205,-0.009778359,0.91160166,0.92968196,0.072166294,0.0455566,-0.3583408,2
35408509,0.027607635,0.02302934,0.050847024,-0.410996,0.01794003,-0.00980551,0.9114079,0.92968196,0.072166294,0.0455566,-0.3583408,2
35441313,0.11925223,0.12371576,0.04366895,-0.4116369,0.017456533,-0.009723355,0.91112894,0.92968196,0.072166294,0.0455566,-0.3583408,2
35473288,-0.068808466,-0.0875682,-0.03197588,-0.4119613,0.017880732,-0.009876725,0.9109724,0.92968196,0.072166294,0.0455566,-0.3583408,2
35505290,0.026698122,0.028380165,0.09578558,-0.4125777,0.018041776,-0.009920498,0.9106898,0.92968196,0.072166294,0.0455566,-0.3583408,2
35537315,0.020382782,0.013153911,-0.028154384,-0.4130924,0.017767714,-0.009889188,0.91046214,0.92968196,0.072166294,0.0455566,-0.3583408,2
35569323,-0.17869359,-0.17980118,-0.035886444,-0.4134573,0.018373417,-0.010155345,0.91028154,0.92968196,0.072166294,0.0455566,-0.3583408,2
35601329,-0.00623496,0.00055212143,0.038255386,-0.41402265,0.018598309,-0.010263832,0.91001874,0.92968196,0.072166294,0.0455566,-0.3583408,2
35630071,0.044278845,0.09724287,0.064253256,-0.4146184,0.01842292,-0.010299501,0.9097505,0.92968196,0.072166294,0.0455566,-0.3583408,2
35662078,-0.055925764,-0.054682802,-0.051068373,-0.41502836,0.018571876,-0.010378271,0.9095598,0.92968196,0.072166294,0.0455566,-0.3583408,2
35694114,0.072045274,0.019934844,0.06814401,-0.41565207,0.018743755,-0.010428441,0.9092707,0.92968196,0.072166294,0.0455566,-0.3583408,2
35726100,0.15187521,0.18871735,0.040559836,-0.41631398,0.018150534,-0.010297498,0.90898144,0.92968196,0.072166294,0.0455566,-0.3583408,2
35758115,-0.13286299,-0.1495383,-0.06901809,-0.41660112,0.018567458,-0.010456742,0.90883964,0.92968196,0.072166294,0.0455566,-0.3583408,2
35790117,-0.0020271998,0.020627195,0.11783907,-0.41726246,0.019159032,-0.010723872,0.9085209,0.92968196,0.072166294,0.0455566,-0.3583408,2
35818095,0.015918165,0.050218586,-0.008416513,-0.4179672,0.018928707,-0.010695067,0.90820193,0.92968196,0.072166294,0.0455566,-0.3583408,2
35850910,-0.0777498,-0.09708338,0.019188546,-0.41818705,0.019668221,-0.01096591,0.90808177,0.92968196,0.072166294,0.0455566,-0.3583408,2
35882894,0.19010663,0.231113,0.08341336,-0.4193001,0.018665908,-0.010669573,0.90759313,0.92968196,0.072166294,0.0455566,-0.3583408,2
35914911,-0.00604519,-0.0020708344,0.026578413,-0.41955182,0.019440766,-0.010850365,0.9074583,0.92968196,0.072166294,0.0455566,-0.3583408,2
